:START_ID(Authors),:END_ID(Pubs),:TYPE
589,680,Autoria
590,681,Autoria
591,682,Autoria
592,683,Autoria
593,684,Autoria
586,685,Autoria
594,686,Autoria
595,686,Autoria
596,687,Autoria
597,688,Autoria
598,688,Autoria
599,689,Autoria
600,689,Autoria
601,689,Autoria
602,690,Autoria
603,691,Autoria
604,692,Autoria
605,692,Autoria
606,693,Autoria
607,694,Autoria
608,694,Autoria
609,694,Autoria
610,695,Autoria
611,696,Autoria
612,697,Autoria
613,697,Autoria
614,698,Autoria
615,698,Autoria
616,698,Autoria
617,699,Autoria
618,699,Autoria
619,700,Autoria
620,701,Autoria
621,701,Autoria
622,701,Autoria
623,701,Autoria
624,701,Autoria
625,701,Autoria
626,702,Autoria
627,703,Autoria
618,703,Autoria
628,704,Autoria
629,705,Autoria
630,705,Autoria
631,705,Autoria
632,706,Autoria
633,707,Autoria
634,707,Autoria
635,707,Autoria
636,708,Autoria
637,708,Autoria
638,709,Autoria
639,709,Autoria
640,709,Autoria
641,709,Autoria
642,710,Autoria
643,710,Autoria
644,711,Autoria
645,712,Autoria
621,712,Autoria
646,712,Autoria
647,713,Autoria
632,714,Autoria
648,715,Autoria
649,716,Autoria
650,716,Autoria
651,716,Autoria
652,717,Autoria
653,717,Autoria
654,717,Autoria
655,717,Autoria
656,718,Autoria
657,719,Autoria
658,719,Autoria
659,719,Autoria
660,720,Autoria
661,720,Autoria
662,721,Autoria
614,722,Autoria
663,723,Autoria
664,723,Autoria
665,724,Autoria
666,725,Autoria
667,726,Autoria
668,726,Autoria
669,726,Autoria
670,726,Autoria
671,726,Autoria
672,726,Autoria
673,726,Autoria
674,726,Autoria
675,726,Autoria
676,726,Autoria
677,726,Autoria
678,726,Autoria
679,726,Autoria
680,726,Autoria
681,726,Autoria
682,726,Autoria
683,727,Autoria
605,727,Autoria
684,728,Autoria
685,729,Autoria
686,730,Autoria
687,730,Autoria
688,730,Autoria
689,731,Autoria
690,731,Autoria
586,732,Autoria
691,733,Autoria
692,734,Autoria
693,735,Autoria
694,736,Autoria
695,737,Autoria
696,737,Autoria
697,737,Autoria
698,738,Autoria
699,738,Autoria
700,739,Autoria
701,739,Autoria
702,740,Autoria
703,740,Autoria
704,741,Autoria
705,742,Autoria
706,742,Autoria
707,743,Autoria
582,743,Autoria
708,743,Autoria
709,744,Autoria
710,745,Autoria
711,745,Autoria
712,746,Autoria
713,746,Autoria
714,747,Autoria
715,748,Autoria
716,749,Autoria
717,750,Autoria
718,751,Autoria
719,752,Autoria
720,753,Autoria
721,753,Autoria
722,754,Autoria
723,754,Autoria
724,755,Autoria
725,755,Autoria
726,756,Autoria
727,756,Autoria
728,756,Autoria
729,757,Autoria
730,758,Autoria
731,759,Autoria
732,760,Autoria
624,760,Autoria
733,761,Autoria
734,761,Autoria
735,761,Autoria
736,761,Autoria
737,761,Autoria
738,762,Autoria
739,763,Autoria
740,764,Autoria
741,764,Autoria
742,764,Autoria
743,764,Autoria
744,764,Autoria
745,764,Autoria
746,764,Autoria
747,765,Autoria
748,765,Autoria
749,766,Autoria
750,766,Autoria
751,766,Autoria
752,766,Autoria
753,766,Autoria
754,767,Autoria
755,767,Autoria
756,768,Autoria
757,768,Autoria
758,768,Autoria
759,769,Autoria
760,770,Autoria
761,770,Autoria
762,771,Autoria
610,772,Autoria
763,773,Autoria
764,773,Autoria
746,774,Autoria
765,774,Autoria
766,774,Autoria
767,775,Autoria
768,776,Autoria
769,777,Autoria
770,777,Autoria
693,778,Autoria
612,778,Autoria
623,779,Autoria
771,780,Autoria
772,780,Autoria
773,781,Autoria
774,781,Autoria
775,781,Autoria
776,782,Autoria
777,782,Autoria
778,783,Autoria
779,784,Autoria
780,785,Autoria
781,786,Autoria
605,786,Autoria
782,786,Autoria
783,786,Autoria
784,786,Autoria
785,787,Autoria
786,788,Autoria
787,789,Autoria
788,790,Autoria
789,791,Autoria
790,791,Autoria
791,791,Autoria
614,792,Autoria
792,793,Autoria
793,793,Autoria
794,794,Autoria
745,795,Autoria
795,795,Autoria
796,796,Autoria
797,797,Autoria
798,798,Autoria
799,798,Autoria
800,799,Autoria
801,799,Autoria
802,800,Autoria
803,801,Autoria
804,802,Autoria
666,803,Autoria
805,803,Autoria
806,804,Autoria
807,804,Autoria
808,804,Autoria
809,805,Autoria
810,806,Autoria
811,807,Autoria
812,807,Autoria
813,807,Autoria
814,807,Autoria
815,807,Autoria
816,807,Autoria
817,808,Autoria
818,808,Autoria
819,809,Autoria
621,810,Autoria
820,810,Autoria
821,810,Autoria
822,810,Autoria
823,811,Autoria
824,811,Autoria
825,812,Autoria
826,812,Autoria
827,812,Autoria
828,813,Autoria
829,813,Autoria
830,814,Autoria
718,815,Autoria
631,816,Autoria
586,817,Autoria
587,817,Autoria
831,818,Autoria
620,819,Autoria
832,819,Autoria
741,820,Autoria
833,821,Autoria
834,822,Autoria
612,822,Autoria
835,823,Autoria
836,824,Autoria
837,825,Autoria
838,825,Autoria
839,825,Autoria
840,826,Autoria
637,827,Autoria
841,828,Autoria
842,829,Autoria
843,830,Autoria
