pubId:ID(Pubs),Title,Year,Tipo,:LABEL
192,Prozedurale Aspekte der Wegplanung und Wegbeschreibung,1987,article,Pub
193,Pluralbehandlung in natrlichsprachlichen Wissensverabeitungssystemen,1989,article,Pub
194,Compilation of Complex DATALOG with Stratified Negation,1989,article,Pub
195,Die Sloppy/Referenzielle Ambiguitt: Bildungssyntax oder Diskursreprsentationstheorie?,1988,article,Pub
196,Parsingstrategien fr Unifikationsgrammatiken mit ID/LP-Regeln,1987,article,Pub
197,Expressing Linguistic Knowledge in STUF '91,1992,article,Pub
198,Der Lambek-Kalkl. Eine Logik fr lexikalische Grammatiken,1990,article,Pub
199,Knowledge in Operation,1991,article,Pub
200,Graph Based Extension of the LILOG Inference Engine,1992,article,Pub
201,A Tool Kit for Knowledge Based Production Planning Systems,1990,article,Pub
202,Operationen in erweiterten Typunifikationsformalismen,1988,article,Pub
203,"Standards fr das Programmieren in Prolog fr LILOG, Version 3.3",1989,article,Pub
204,Sort-Lattice Management in LILOG-DB,1989,article,Pub
205,A Feature Logic with Subsorts,1988,article,Pub
206,A Model Elimination Calculus for Generalized Clauses,1991,article,Pub
207,A Model for Discourse Particles,1988,article,Pub
208,Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht,1991,article,Pub
209,Tableau Calculus for Order Sorted Logic,1990,article,Pub
210,The Compilation of a High Level Data Language.,1979,article,Pub
211,LILOG Prototype I Grammar Documentation: Semantics,1988,article,Pub
212,Position und Bewegung: Zur Semantik lokaler Verben,1990,article,Pub
213,"""Der Film ded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wrterbuchs fr deutsche Verben",1992,article,Pub
214,Using Knowledge-Based Methods to Administrate an Access Control System,1992,article,Pub
215,Erster EXCEPT-Workshop: Computeruntersttzte Umweltvertrglichkeitsprfung,1990,article,Pub
216,Cognitive Linguistics: The Processing of Spatial Concepts,1988,article,Pub
217,The Semantics of Asserting and Retracting Clauses to Logic Programs,1987,article,Pub
218,"SQL/Data System, Conpects and Facilities.",1981,article,Pub
219,Zeit und Aspekt bei der Verarbeitung natrlicher Sprachen,1987,article,Pub
220,Syntaktische Informationseinheiten zu deutschen Adjektiven,1992,article,Pub
221," Presupposition, Anaphora, and Lexical Content",1991,article,Pub
222,LILOG-DB: Database Support for Knowledge-Based Systems,1988,article,Pub
223,Elsa-Wanderung fr Linguisten: Exemplarische Analyse und Reprsentation eines Satzes aus einer Reisebeschreibung,1988,article,Pub
224,Die Struktur des Lexikons fr LILOG,1988,article,Pub
225,Ein Transaktionskonzept fr LILOG,1987,article,Pub
226,KL-ONE: Eine Einfhrung,1990,article,Pub
227,On the Role of Reasoning about Change in the Projection of Presuppositions,1992,article,Pub
228,Untersuchungen zum Grundwortschatz,1991,article,Pub
229,Zur Behandlung komplexer Objekte in LILOG,1987,article,Pub
230,Chart-Parsing of Unification-Based Grammars with ID/LP-Rules,1987,article,Pub
231,Das Problem der VP-Ellipsen im Rahmen einer Theorie der Sachverhaltsanaphern,1990,article,Pub
232,Integrating Model Theoretic and Proof Theoretic Interpretation of Logic Programs,1988,article,Pub
233,A Knowledge Level Analysis of Belief Revision,1989,article,Pub
234,Transitive Closure: New Aspects of an Old Theme,1991,article,Pub
235,XRM - An Extended (N-ary) Relational Memory.,1974,article,Pub
236,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,1988,article,Pub
237,"Quantifikation, Plural, Ereignisse und ihre Argumente in einer mehrsortigen Sprache der Prdikatenlogik erster Stufe",1989,article,Pub
238,Konzeptuelles Design einer mehrsprachigen lexikalischen Datenbank fr die maschinelle bersetzung,1992,article,Pub
239,PROTOS-L: Towards a Knowledge Base Programming Language,1989,article,Pub
240,Rule Rewriting Techniken zur globalen Optimierung von FLL-Programmen,1989,article,Pub
241,A Persistent Store for Large Shared Knowledge Bases,1990,article,Pub
242,Strategien zur Pronominalisierung,1990,article,Pub
243,Feature Graphs and Abstract Data Types: A Unifying Approach,1988,article,Pub
244,Ein modularer Ansatz fr prinzipienbasiertes Parsing,1990,article,Pub
245,A Reusable Lexical Database Tool for Machine Translation,1992,article,Pub
246,The Knowledge Representation Language L,1988,article,Pub
247,On the Treatment of Compounds in Machine Translation. A Study,1992,article,Pub
248,How could a good system of practical NLP look like?,1992,article,Pub
249,"The 1995 SQL Reunion: People, Project, and Politics, May 29, 1995.",1997,article,Pub
250,Some Bounds on Multiparty Communication Complexity of Pointer Jumping,1995,article,Pub
251,Two short notes,2001,article,Pub
252,Global Rebuilding of OBDD's - Tunneling Memory Requirement Maxima,1995,article,Pub
253,Ein Faltungskalkl fr Matrizenfolgen und verallgemeinerte Poisson-Gruppenprozesse,1996,article,Pub
254,Computational Convexity,1996,article,Pub
255,On the Acceptance Power of Groups and Semigroups,1996,article,Pub
256,IDDS: An Interactive Decentallzed Documentation System,2001,article,Pub
257,Discrete Tomography: Determination of Finite Sets by X-Rays,1995,article,Pub
258,Convergence Results on Proximal Method of Multipliers in Nonconvex Programming,1998,article,Pub
259,On the Complexity of One Branching Graphs,1992,article,Pub
260,Integrating Scalable Parallel Libraries and Automatically Parallelizing Compilers,1994,article,Pub
261,On Smoothing of Generalized max-Functions via epsilon-Regularization,1996,article,Pub
262,Proximal Interior Point Approach in Convex Programming,1996,article,Pub
263,BMAP/G/1-Queues: Properties of the Fundamental-Period-Matrix G,1996,article,Pub
264,Computational Design of Stabilizing Static Output Feedback Controllers,1999,article,Pub
265,On the Reconstruction of Binary Images from Their Discrete Radon Transforms,1996,article,Pub
266,ForkLight: A Control-Synchronous Parallel Programming Language,1998,article,Pub
267,On Optimization Properties of Functions with a Concave Minorant,1997,article,Pub
268,Non-quadratic Proximal Regularization with Application to Variational Inequalities in Hilbert Spaces,2001,article,Pub
269,Product Form Solutions for Closed Synchronized Systems of Stochastic Sequential Processes,1992,article,Pub
270,Approximation of the Newton Step by a Defect Correction Process,1999,article,Pub
271,Representation of Feedback Operators for Hyperbolic Partial Differential Equation Control Problems,1996,article,Pub
272,OBDD-based Verification of Communication Protocols - Methods for the Verification of Data Link Protocols,1997,article,Pub
